Feature,Feature_Value,SHAP_Value,Absolute_SHAP
Study Hours,4.8,0.03761535516904275,0.03761535516904275
ExtracurricularActivities,1.0,0.025219794291007968,0.025219794291007968
ParentalSupport_Low,False,0.02490321295601672,0.02490321295601672
AttendanceRate,85.0,0.022988922603270474,0.022988922603270474
PreviousGrade,78.0,0.018097937712795758,0.018097937712795758
StudyHoursPerWeek,15.0,-0.01412303598895121,0.01412303598895121
Gender_Male,True,-0.01114272461720787,0.01114272461720787
ParentalSupport_Medium,False,-0.005997830181529888,0.005997830181529888
